iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","117,460,897.92","0.17","117,460,897.92","1,926,852.00","60.96","United States","NASDAQ","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","117,429,354.59","0.17","117,429,354.59","7,035,911.00","16.69","United States","NASDAQ","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","117,015,054.00","0.17","117,015,054.00","3,604,900.00","32.46","United States","NASDAQ","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","116,891,160.90","0.17","116,891,160.90","1,734,805.00","67.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","116,682,506.64","0.17","116,682,506.64","2,843,141.00","41.04","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","116,448,384.96","0.17","116,448,384.96","2,741,252.00","42.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","116,021,061.39","0.17","116,021,061.39","6,364,293.00","18.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIR","MIRION TECHNOLOGIES INC CLASS A","Information Technology","Equity","115,632,537.30","0.17","115,632,537.30","5,244,106.00","22.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","115,317,477.00","0.17","115,317,477.00","3,494,469.00","33.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTB","KONTOOR BRANDS INC","Consumer Discretionary","Equity","115,210,699.92","0.16","115,210,699.92","1,370,088.00","84.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","115,171,039.64","0.16","115,171,039.64","5,060,239.00","22.76","Canada","NASDAQ","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","115,035,641.68","0.16","115,035,641.68","1,425,826.00","80.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHR","ARCHER AVIATION INC CLASS A","Industrials","Equity","114,985,936.59","0.16","114,985,936.59","13,543,691.00","8.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","114,964,556.31","0.16","114,964,556.31","2,056,979.00","55.89","United States","NASDAQ","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","114,597,174.59","0.16","114,597,174.59","5,990,443.00","19.13","United States","NASDAQ","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","113,811,062.60","0.16","113,811,062.60","3,164,935.00","35.96","United States","NASDAQ","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","113,798,056.98","0.16","113,798,056.98","1,796,906.00","63.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS INC","Consumer Discretionary","Equity","113,103,093.30","0.16","113,103,093.30","1,577,449.00","71.70","United States","NASDAQ","USD","1.00","USD","-"
"SXT","SENSIENT TECHNOLOGIES CORP","Materials","Equity","113,041,127.56","0.16","113,041,127.56","1,051,252.00","107.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","112,993,853.00","0.16","112,993,853.00","1,487,740.00","75.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","112,058,103.29","0.16","112,058,103.29","4,643,933.00","24.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DORM","DORMAN PRODUCTS INC","Consumer Discretionary","Equity","111,977,706.52","0.16","111,977,706.52","684,293.00","163.64","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","111,955,761.91","0.16","111,955,761.91","1,136,953.00","98.47","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","111,846,565.75","0.16","111,846,565.75","4,036,325.00","27.71","United States","NASDAQ","USD","1.00","USD","-"
"MC","MOELIS CLASS A","Financials","Equity","111,277,897.05","0.16","111,277,897.05","1,470,957.00","75.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKYW","SKYWEST INC","Industrials","Equity","111,134,000.78","0.16","111,134,000.78","1,016,547.00","109.33","United States","NASDAQ","USD","1.00","USD","-"
"ASB","ASSOCIATED BANCORP","Financials","Equity","110,952,692.24","0.16","110,952,692.24","4,199,572.00","26.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
